X,FY,Division,Code,Month,MonthNumber,MonthSortKey,FND_CAT,Pillar
4479,2020,260,264,Jan,04--Jan,4,MISSION,FTS
4483,2020,260,264,Jul,10--Jul,10,MISSION,CMO
4488,2020,260,264,Jun,09--Jun,9,MISSION,CMO
4496,2020,260,264,Mar,06--Mar,6,MISSION,OVERHEAD
4501,2020,260,264,May,08--May,8,MISSION,OVERHEAD
4502,2020,260,264,May,08--May,8,MISSION,TSRA
4505,2020,260,264,Nov,02--Nov,2,MISSION,CMO
4523,2020,280,280,Dec,03--Dec,3,MISSION,OVERHEAD
4528,2020,280,280,Mar,06--Mar,6,MISSION,OVERHEAD
4540,2020,280,281,Dec,03--Dec,3,MISSION,OVERHEAD
4542,2020,280,281,Dec,03--Dec,3,REIMB,REIMB
4552,2020,280,281,Jul,10--Jul,10,MISSION,OVERHEAD
4555,2020,280,281,Jun,09--Jun,9,MISSION,FTS
4556,2020,280,281,Jun,09--Jun,9,MISSION,OVERHEAD
4558,2020,280,281,Mar,06--Mar,6,MISSION,
4570,2020,280,281,Oct,01--Oct,1,MISSION,OVERHEAD
4584,2020,280,282,Dec,03--Dec,3,MISSION,OVERHEAD
4586,2020,280,282,Dec,03--Dec,3,REIMB,REIMB
4587,2020,280,282,Feb,05--Feb,5,MISSION,FTS
4595,2020,280,282,Jul,10--Jul,10,MISSION,OVERHEAD
4609,2020,280,282,Nov,02--Nov,2,MISSION,OVERHEAD
4614,2020,280,282,Oct,01--Oct,1,MISSION,OVERHEAD
4622,2020,280,283,Apr,07--Apr,7,MISSION,TSRA
4628,2020,280,283,Dec,03--Dec,3,MISSION,OVERHEAD
4632,2020,280,283,Feb,05--Feb,5,MISSION,FTS
4645,2020,280,283,Jun,09--Jun,9,REIMB,REIMB
4661,2020,280,283,Sep,12--Sep,12,MISSION,OVERHEAD
4664,2020,280,284,Apr,07--Apr,7,MISSION,CMO
4666,2020,280,284,Apr,07--Apr,7,MISSION,OVERHEAD
4671,2020,280,284,Aug,11--Aug,11,MISSION,TSRA
4682,2020,280,284,Jan,04--Jan,4,MISSION,CMO
4688,2020,280,284,Jul,10--Jul,10,MISSION,FTS
4690,2020,280,284,Jul,10--Jul,10,MISSION,TSRA
4694,2020,280,284,Jun,09--Jun,9,MISSION,TSRA
4705,2020,280,284,Nov,02--Nov,2,MISSION,TSRA
4708,2020,280,284,Oct,01--Oct,1,MISSION,TSRA
4719,2020,280,285,Aug,11--Aug,11,MISSION,OVERHEAD
4720,2020,280,285,Aug,11--Aug,11,MISSION,TSRA
4721,2020,280,285,Dec,03--Dec,3,MISSION,FTS
4725,2020,280,285,Feb,05--Feb,5,MISSION,FTS
4738,2020,280,285,Jun,09--Jun,9,REIMB,REIMB
4739,2020,280,285,Mar,06--Mar,6,MISSION,FTS
4745,2020,280,285,May,08--May,8,MISSION,TSRA
4750,2020,280,285,Oct,01--Oct,1,MISSION,FTS
4753,2020,280,285,Oct,01--Oct,1,REIMB,REIMB
4770,2020,280,286,Feb,05--Feb,5,MISSION,FTS
4771,2020,280,286,Feb,05--Feb,5,MISSION,OVERHEAD
4772,2020,280,286,Feb,05--Feb,5,MISSION,TSRA
4781,2020,280,286,Jul,10--Jul,10,MISSION,TSRA
4798,2020,280,286,Nov,02--Nov,2,REIMB,REIMB
4804,2020,280,286,Sep,12--Sep,12,MISSION,OVERHEAD
4814,2020,280,287,Aug,11--Aug,11,REIMB,
4815,2020,280,287,Dec,03--Dec,3,MISSION,FTS
4818,2020,280,287,Dec,03--Dec,3,REIMB,REIMB
4820,2020,280,287,Feb,05--Feb,5,MISSION,OVERHEAD
4823,2020,280,287,Jan,04--Jan,4,MISSION,CMO
4829,2020,280,287,Jul,10--Jul,10,MISSION,FTS
4834,2020,280,287,Jun,09--Jun,9,MISSION,TSRA
4868,2020,290,291,Aug,11--Aug,11,MISSION,OVERHEAD
4883,2020,290,291,Jul,10--Jul,10,MISSION,TSRA
4887,2020,290,291,Mar,06--Mar,6,MISSION,FTS
4888,2020,290,291,Mar,06--Mar,6,MISSION,OVERHEAD
4894,2020,290,291,Nov,02--Nov,2,MISSION,FTS
4902,2020,290,291,Sep,12--Sep,12,MISSION,FTS
4904,2020,290,291,Sep,12--Sep,12,MISSION,TSRA
4925,2020,290,292,Jan,04--Jan,4,MISSION,TSRA
4928,2020,290,292,Jul,10--Jul,10,MISSION,FTS
4939,2020,290,292,Mar,06--Mar,6,MISSION,OVERHEAD
4941,2020,290,292,May,08--May,8,MISSION,CMO
4946,2020,290,292,Nov,02--Nov,2,MISSION,CMO
4961,2020,290,293,Apr,07--Apr,7,MISSION,TSRA
4968,2020,290,293,Dec,03--Dec,3,REIMB,REIMB
4980,2020,290,293,Jul,10--Jul,10,REIMB,REIMB
4991,2020,290,293,Nov,02--Nov,2,MISSION,OVERHEAD
5007,2020,290,294,Dec,03--Dec,3,MISSION,FTS
5008,2020,290,294,Dec,03--Dec,3,MISSION,OVERHEAD
5010,2020,290,294,Dec,03--Dec,3,REIMB,REIMB
5014,2020,290,294,Feb,05--Feb,5,REIMB,REIMB
5026,2020,290,294,Mar,06--Mar,6,MISSION,FTS
5031,2020,290,294,May,08--May,8,MISSION,OVERHEAD
5036,2020,290,294,Oct,01--Oct,1,MISSION,
5045,2020,290,295,Apr,07--Apr,7,MISSION,FTS
5048,2020,290,295,Aug,11--Aug,11,MISSION,CMO
5050,2020,290,295,Aug,11--Aug,11,MISSION,OVERHEAD
5053,2020,290,295,Dec,03--Dec,3,MISSION,CMO
5054,2020,290,295,Dec,03--Dec,3,MISSION,FTS
5057,2020,290,295,Dec,03--Dec,3,REIMB,REIMB
5066,2020,290,295,Jul,10--Jul,10,MISSION,CMO
5071,2020,290,295,Jun,09--Jun,9,MISSION,CMO
5077,2020,290,295,Mar,06--Mar,6,MISSION,FTS
5078,2020,290,295,Mar,06--Mar,6,MISSION,OVERHEAD
5094,2020,290,295,Sep,12--Sep,12,MISSION,FTS
5098,2020,290,296,Apr,07--Apr,7,MISSION,FTS
5100,2020,290,296,Apr,07--Apr,7,MISSION,TSRA
5107,2020,290,296,Dec,03--Dec,3,REIMB,REIMB
5113,2020,290,296,Jan,04--Jan,4,MISSION,TSRA
5114,2020,290,296,Jul,10--Jul,10,MISSION,CMO
5132,2020,290,296,Nov,02--Nov,2,MISSION,TSRA
