"","X","FY","Division","Code","Month","MonthNumber","MonthSortKey","FND_CAT","Pillar","Numerator_Hours","Denominator_Hours","Rate"
"1075",1075,2018,280,"281","Dec","03--Dec",3,"MISSION","OVERHEAD",11.5,73,0.157534247
"1228",1228,2018,280,"284","Dec","03--Dec",3,"MISSION","",0,5,0
"320",320,2018,220,"224","Feb","05--Feb",5,"MISSION","CMO",48.5,1128,0.042996454
"1752",1752,2019,200,"200A1","Jul","10--Jul",10,"MISSION","OVERHEAD",0,175,0
"46",46,2018,200,"205A","Dec","03--Dec",3,"MISSION","OVERHEAD",54.5,1257,0.0433572
"2110",2110,2019,240,"241","Nov","02--Nov",2,"MISSION","TSRA",0,6,0
"958",958,2018,260,"263","Jan","04--Jan",4,"MISSION","OVERHEAD",0,28,0
"4382",4382,2020,260,"262","Nov","02--Nov",2,"MISSION","FTS",44,784,0.056122449
"3006",3006,2019,280,"284","Feb","05--Feb",5,"MISSION","OVERHEAD",0,608.5,0
"3238",3238,2019,290,"291","Feb","05--Feb",5,"MISSION","OVERHEAD",46,400,0.115
"3778",3778,2020,220,"224","Apr","07--Apr",7,"REIMB","REIMB",6.5,484.5,0.013415893
"1797",1797,2019,200,"205C","Feb","05--Feb",5,"MISSION","OVERHEAD",0,147,0
"4758",4758,2020,280,"286","Apr","07--Apr",7,"MISSION","FTS",6,1376,0.004360465
"973",973,2018,260,"263","Mar","06--Mar",6,"MISSION","OVERHEAD",27,145.5,0.18556701
"2861",2861,2019,280,"281","Nov","02--Nov",2,"MISSION","FTS",26.5,1332.5,0.01988743
"2645",2645,2019,260,"262","Jun","09--Jun",9,"MISSION","TSRA",93,359,0.259052925
"3257",3257,2019,290,"291","Mar","06--Mar",6,"MISSION","TSRA",0,228.5,0
"3230",3230,2019,290,"291","Aug","11--Aug",11,"MISSION","OVERHEAD",8,419.5,0.019070322
"426",426,2018,240,"241","Oct","01--Oct",1,"MISSION","OVERHEAD",72.5,151,0.48013245
"1487",1487,2018,290,"291","Nov","02--Nov",2,"MISSION","TSRA",9,565,0.015929204
"3165",3165,2019,280,"287","Aug","11--Aug",11,"MISSION","UNIQ",0,1,0
"4650",4650,2020,280,"283","May","08--May",8,"MISSION","OVERHEAD",0,944,0
"3064",3064,2019,280,"285","Feb","05--Feb",5,"MISSION","OVERHEAD",0,518,0
"4973",4973,2020,290,"293","Jan","04--Jan",4,"MISSION","FTS",167,747.5,0.223411371
"2102",2102,2019,240,"241","Mar","06--Mar",6,"MISSION","OVERHEAD",147,1030.5,0.142649199
"4360",4360,2020,260,"262","Jul","10--Jul",10,"MISSION","CMO",9.6,0,0
"410",410,2018,240,"241","Mar","06--Mar",6,"MISSION","OVERHEAD",68,107,0.635514019
"1396",1396,2018,280,"287","Feb","05--Feb",5,"MISSION","OVERHEAD",12,36,0.333333333
"1603",1603,2018,290,"294","Feb","05--Feb",5,"MISSION","FTS",11,1231.5,0.008932197
"3208",3208,2019,280,"287","Sep","12--Sep",12,"MISSION","OVERHEAD",0,289,0
"2755",2755,2019,260,"264","Feb","05--Feb",5,"MISSION","",0,39,0
"3725",3725,2020,220,"222","Dec","03--Dec",3,"REIMB","REIMB",22,112,0.196428571
"479",479,2018,240,"243","Aug","11--Aug",11,"REIMB","REIMB",29,18,1.611111111
"1222",1222,2018,280,"284","Apr","07--Apr",7,"REIMB","REIMB",4,36,0.111111111
"3426",3426,2019,290,"294","Sep","12--Sep",12,"MISSION","OVERHEAD",29,307,0.094462541
"1624",1624,2018,290,"294","May","08--May",8,"REIMB","REIMB",37,102,0.362745098
"3356",3356,2019,290,"293","Jan","04--Jan",4,"MISSION","TSRA",0,612,0
"2336",2336,2019,250,"252","Jun","09--Jun",9,"MISSION","CMO",0,59.5,0
"2491",2491,2019,250,"255","Feb","05--Feb",5,"MISSION","FTS",124,714,0.173669468
"4685",4685,2020,280,"284","Jan","04--Jan",4,"MISSION","TSRA",0,334.5,0
"283",283,2018,220,"223","Dec","03--Dec",3,"MISSION","CMO",0,433,0
"4275",4275,2020,260,"260","Oct","01--Oct",1,"MISSION","OVERHEAD",0,169,0
"3897",3897,2020,240,"242","Feb","05--Feb",5,"MISSION","TSRA",170,1109,0.153291253
"2221",2221,2019,240,"243","Oct","01--Oct",1,"MISSION","CMO",0,25,0
"3219",3219,2019,290,"290","May","08--May",8,"MISSION","OVERHEAD",13,144,0.090277778
"4765",4765,2020,280,"286","Aug","11--Aug",11,"REIMB","REIMB",0,66,0
"2975",2975,2019,280,"283","Nov","02--Nov",2,"MISSION","OVERHEAD",0,375.5,0
"1053",1053,2018,260,"264","Oct","01--Oct",1,"REIMB","REIMB",33.5,128,0.26171875
"3132",3132,2019,280,"286","Jun","09--Jun",9,"MISSION","OVERHEAD",0,172.5,0
"1079",1079,2018,280,"281","Feb","05--Feb",5,"MISSION","TSRA",10,105,0.095238095
"2693",2693,2019,260,"263","Feb","05--Feb",5,"REIMB","",109,265,0.411320755
"1773",1773,2019,200,"205A","Mar","06--Mar",6,"MISSION","TSRA",0,158.5,0
"4847",4847,2020,280,"287","Sep","12--Sep",12,"MISSION","CMO",0,0,0
"4704",4704,2020,280,"284","Nov","02--Nov",2,"MISSION","OVERHEAD",11.5,508.5,0.022615536
"1344",1344,2018,280,"286","Feb","05--Feb",5,"MISSION","OVERHEAD",0,54,0
"2289",2289,2019,250,"251","Nov","02--Nov",2,"MISSION","CMO",5,93,0.053763441
"348",348,2018,220,"224","Oct","01--Oct",1,"MISSION","TSRA",1,4,0.25
"8",8,2018,200,"200","Mar","06--Mar",6,"MISSION","OVERHEAD",11,0,0
"421",421,2018,240,"241","Nov","02--Nov",2,"MISSION","TSRA",0,14.5,0
"3358",3358,2019,290,"293","Jul","10--Jul",10,"MISSION","FTS",171.5,1096.1,0.156463826
"1941",1941,2019,220,"221","Mar","06--Mar",6,"MISSION","OVERHEAD",53,420,0.126190476
"4185",4185,2020,250,"254","Jan","04--Jan",4,"MISSION","FTS",24,513,0.046783626
"1009",1009,2018,260,"264","Dec","03--Dec",3,"MISSION","TSRA",16.5,225,0.073333333
"3659",3659,2020,210,"213","Mar","06--Mar",6,"MISSION","OVERHEAD",0,654,0
"1519",1519,2018,290,"292","Jan","04--Jan",4,"REIMB","REIMB",0,32,0
"1601",1601,2018,290,"294","Dec","03--Dec",3,"MISSION","OVERHEAD",0,180.5,0
"3020",3020,2019,280,"284","Jun","09--Jun",9,"MISSION","FTS",0,448,0
"619",619,2018,250,"252","Jan","04--Jan",4,"MISSION","CMO",0,185.5,0
"169",169,2018,210,"212","Sep","12--Sep",12,"REIMB","REIMB",16,70,0.228571429
"3446",3446,2019,290,"295","Jan","04--Jan",4,"MISSION","FTS",43.5,520,0.083653846
"103",103,2018,210,"211","Dec","03--Dec",3,"MISSION","OVERHEAD",0,178,0
"1916",1916,2019,220,"220","Sep","12--Sep",12,"MISSION","OVERHEAD",21.5,152,0.141447368
"3628",3628,2020,210,"211","Oct","01--Oct",1,"MISSION","UNIQ",24,0,0
"2387",2387,2019,250,"253","Jan","04--Jan",4,"MISSION","CMO",1,87.5,0.011428571
"574",574,2018,250,"251","Jun","09--Jun",9,"MISSION","OVERHEAD",0,65,0
"3797",3797,2020,220,"224","Mar","06--Mar",6,"MISSION","CMO",84.5,1240,0.068145161
"4979",4979,2020,290,"293","Jul","10--Jul",10,"MISSION","TSRA",0,417,0
"3264",3264,2019,290,"291","Nov","02--Nov",2,"MISSION","CMO",4,40,0.1
"2896",2896,2019,280,"282","Jan","04--Jan",4,"MISSION","UNIQ",0,364,0
"2281",2281,2019,250,"251","Mar","06--Mar",6,"MISSION","OVERHEAD",28,155,0.180645161
"2353",2353,2019,250,"252","Nov","02--Nov",2,"MISSION","OVERHEAD",5,66,0.075757576
"2151",2151,2019,240,"242","Mar","06--Mar",6,"MISSION","OVERHEAD",0,190,0
"886",886,2018,260,"262","Dec","03--Dec",3,"MISSION","CMO",0,6,0
"3382",3382,2019,290,"293","Sep","12--Sep",12,"MISSION","OVERHEAD",15,297.5,0.050420168
"5097",5097,2020,290,"295","Sep","12--Sep",12,"REIMB","REIMB",22,264,0.083333333
"3927",3927,2020,240,"242","Sep","12--Sep",12,"MISSION","TSRA",48,1210,0.039669421
"1406",1406,2018,280,"287","Jun","09--Jun",9,"MISSION","CMO",35.5,180.5,0.1966759
"4477",4477,2020,260,"264","Feb","05--Feb",5,"REIMB","REIMB",42,300,0.14
"448",448,2018,240,"242","Jul","10--Jul",10,"MISSION","OVERHEAD",0,291,0
"3079",3079,2019,280,"285","Jun","09--Jun",9,"MISSION","UNIQ",14.5,149,0.097315436
"924",924,2018,260,"262","Nov","02--Nov",2,"MISSION","OVERHEAD",0,109,0
"3691",3691,2020,220,"221","Jan","04--Jan",4,"MISSION","OVERHEAD",33,192,0.171875
"64",64,2018,200,"205B","Jun","09--Jun",9,"MISSION","OVERHEAD",14.5,148,0.097972973
"3996",3996,2020,250,"251","Aug","11--Aug",11,"MISSION","TSRA",6.5,378.5,0.017173052
"1234",1234,2018,280,"284","Feb","05--Feb",5,"MISSION","FTS",34,805.5,0.042209808
"190",190,2018,220,"220","Jul","10--Jul",10,"MISSION","OVERHEAD",40.5,112,0.361607143
"3423",3423,2019,290,"294","Oct","01--Oct",1,"MISSION","UNIQ",0,15,0
"3353",3353,2019,290,"293","Feb","05--Feb",5,"MISSION","UNIQ",0,52,0
"1681",1681,2018,290,"295","Nov","02--Nov",2,"MISSION","CMO",35,571,0.061295972
"1136",1136,2018,280,"282","Jul","10--Jul",10,"MISSION","TSRA",182,419,0.434367542
"4287",4287,2020,260,"261","Dec","03--Dec",3,"MISSION","FTS",230.5,1305,0.176628352
"909",909,2018,260,"262","Jun","09--Jun",9,"REIMB","REIMB",9,29,0.310344828
"1685",1685,2018,290,"295","Nov","02--Nov",2,"REIMB","REIMB",4,24,0.166666667
"3951",3951,2020,240,"243","Jun","09--Jun",9,"MISSION","CMO",0,4,0
"3383",3383,2019,290,"293","Sep","12--Sep",12,"MISSION","TSRA",0,244.5,0
"3759",3759,2020,220,"223","Aug","11--Aug",11,"MISSION","OVERHEAD",0,619.5,0
"3722",3722,2020,220,"222","Aug","11--Aug",11,"REIMB","REIMB",52,337,0.154302671
"2473",2473,2019,250,"254","Oct","01--Oct",1,"MISSION","TSRA",25,261,0.095785441
"4476",4476,2020,260,"264","Feb","05--Feb",5,"MISSION","TSRA",31.5,152,0.207236842
"775",775,2018,250,"255","Jan","04--Jan",4,"MISSION","FTS",56,670.5,0.083519761
"3293",3293,2019,290,"292","Dec","03--Dec",3,"REIMB","",24,80,0.3
"4268",4268,2020,260,"260","Feb","05--Feb",5,"MISSION","OVERHEAD",0,130,0
"2087",2087,2019,240,"241","Feb","05--Feb",5,"MISSION","TSRA",0,9,0
"3684",3684,2020,220,"221","Dec","03--Dec",3,"MISSION","OVERHEAD",91,174,0.522988506
"4162",4162,2020,250,"253","Oct","01--Oct",1,"MISSION","UNIQ",280.5,590,0.475423729
"5083",5083,2020,290,"295","May","08--May",8,"MISSION","TSRA",53,392,0.135204082
"290",290,2018,220,"223","Jan","04--Jan",4,"MISSION","OVERHEAD",0,21,0
"474",474,2018,240,"243","Apr","07--Apr",7,"MISSION","TSRA",0,271,0
"3885",3885,2020,240,"242","Apr","07--Apr",7,"MISSION","TSRA",64,1327,0.048229088
"1991",1991,2019,220,"222","Nov","02--Nov",2,"MISSION","OVERHEAD",54.5,301,0.181063123
"1514",1514,2018,290,"292","Feb","05--Feb",5,"REIMB","REIMB",0,93,0
