"","X","FY","Division","Code","Month","MonthNumber","MonthSortKey","FND_CAT","Pillar","Numerator_Hours","Denominator_Hours","Rate"
"4787",4787,2020,280,"286","Mar","06--Mar",6,"MISSION","OVERHEAD",0,179.5,0
"4347",4347,2020,260,"262","Dec","03--Dec",3,"MISSION","TSRA",16,170,0.094117647
"1949",1949,2019,220,"221","Oct","01--Oct",1,"MISSION","CMO",295.5,2510,0.117729084
"399",399,2018,240,"241","Jul","10--Jul",10,"MISSION","CMO",27,716,0.037709497
"4977",4977,2020,290,"293","Jul","10--Jul",10,"MISSION","FTS",46.5,1294.5,0.035921205
"321",321,2018,220,"224","Feb","05--Feb",5,"MISSION","OVERHEAD",23,275.5,0.083484574
"4532",4532,2020,280,"280","Sep","12--Sep",12,"MISSION","OVERHEAD",0,166,0
"2453",2453,2019,250,"254","Jul","10--Jul",10,"MISSION","FTS",66.5,861,0.077235772
"1636",1636,2018,290,"295","Apr","07--Apr",7,"MISSION","CMO",47,588,0.079931973
"2125",2125,2019,240,"242","Aug","11--Aug",11,"MISSION","TSRA",48,1289,0.037238169
"2341",2341,2019,250,"252","Mar","06--Mar",6,"MISSION","CMO",0,337,0
